"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Fee stamps (D214B)","1996","General Government - Central Government (S.1311)","€milllion","14.582"
"Fee stamps (D214B)","1996","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","1996","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","14.687"
"Fee stamps (D214B)","1997","General Government - Total (S.13)","€milllion","14.687"
"Fee stamps (D214B)","1997","General Government - Central Government (S.1311)","€milllion","14.687"
"Fee stamps (D214B)","1997","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","1997","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","11.233"
"Fee stamps (D214B)","1998","General Government - Total (S.13)","€milllion","11.233"
"Fee stamps (D214B)","1998","General Government - Central Government (S.1311)","€milllion","11.233"
"Fee stamps (D214B)","1998","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","1998","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","19.739"
"Fee stamps (D214B)","1999","General Government - Total (S.13)","€milllion","19.739"
"Fee stamps (D214B)","1999","General Government - Central Government (S.1311)","€milllion","19.739"
"Fee stamps (D214B)","1999","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","1999","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2000","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2000","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2000","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2000","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2001","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2001","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2001","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2001","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2002","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2002","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2002","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2002","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2002","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2003","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2003","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2003","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2003","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2003","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2004","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2004","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2004","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2004","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2004","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2005","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2005","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2005","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2005","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2005","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2006","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2006","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2006","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2006","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2006","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2007","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2007","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2007","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2007","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2008","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2008","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2008","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2008","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2009","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2009","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2009","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2009","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2010","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2010","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2010","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2010","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2010","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2011","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2011","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2011","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2011","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2011","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2012","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2012","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2012","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2012","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2012","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2013","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2013","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2013","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2013","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2013","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2014","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2014","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2014","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2014","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2015","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2015","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2015","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2015","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2015","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2016","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2016","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2016","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2016","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2016","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2017","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2017","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2017","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2017","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2017","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2018","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2018","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2018","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2018","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2018","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2018","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2019","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2019","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2019","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2019","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2019","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2019","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2020","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2020","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2020","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2020","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2020","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2021","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2021","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2021","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2021","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2021","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2022","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2022","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2022","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2022","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2022","Rest of World (S.212)","€milllion",""
"Fee stamps (D214B)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fee stamps (D214B)","2023","General Government - Total (S.13)","€milllion","0"
"Fee stamps (D214B)","2023","General Government - Central Government (S.1311)","€milllion","0"
"Fee stamps (D214B)","2023","General Government - Local Government (S.1313)","€milllion",""
"Fee stamps (D214B)","2023","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fee stamps (D214B)","2023","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fisheries levy (D51E)","1995","General Government - Total (S.13)","€milllion","0"
"Fisheries levy (D51E)","1995","General Government - Central Government (S.1311)","€milllion","0"
"Fisheries levy (D51E)","1995","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","1995","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fisheries levy (D51E)","1996","General Government - Total (S.13)","€milllion","0"
"Fisheries levy (D51E)","1996","General Government - Central Government (S.1311)","€milllion","0"
"Fisheries levy (D51E)","1996","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","1996","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fisheries levy (D51E)","1997","General Government - Total (S.13)","€milllion","0"
"Fisheries levy (D51E)","1997","General Government - Central Government (S.1311)","€milllion","0"
"Fisheries levy (D51E)","1997","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","1997","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fisheries levy (D51E)","1998","General Government - Total (S.13)","€milllion","0"
"Fisheries levy (D51E)","1998","General Government - Central Government (S.1311)","€milllion","0"
"Fisheries levy (D51E)","1998","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","1998","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Fisheries levy (D51E)","1999","General Government - Total (S.13)","€milllion","0"
"Fisheries levy (D51E)","1999","General Government - Central Government (S.1311)","€milllion","0"
"Fisheries levy (D51E)","1999","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","1999","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","1.1385702"
"Fisheries levy (D51E)","2000","General Government - Total (S.13)","€milllion","1.1385702"
"Fisheries levy (D51E)","2000","General Government - Central Government (S.1311)","€milllion","1.1385702"
"Fisheries levy (D51E)","2000","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2000","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","1.1616156"
"Fisheries levy (D51E)","2001","General Government - Total (S.13)","€milllion","1.1616156"
"Fisheries levy (D51E)","2001","General Government - Central Government (S.1311)","€milllion","1.1616156"
"Fisheries levy (D51E)","2001","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2001","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","1.2398496"
"Fisheries levy (D51E)","2002","General Government - Total (S.13)","€milllion","1.2398496"
"Fisheries levy (D51E)","2002","General Government - Central Government (S.1311)","€milllion","1.2398496"
"Fisheries levy (D51E)","2002","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2002","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2002","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","1.1260386"
"Fisheries levy (D51E)","2003","General Government - Total (S.13)","€milllion","1.1260386"
"Fisheries levy (D51E)","2003","General Government - Central Government (S.1311)","€milllion","1.1260386"
"Fisheries levy (D51E)","2003","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2003","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2003","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","1.0905678"
"Fisheries levy (D51E)","2004","General Government - Total (S.13)","€milllion","1.0905678"
"Fisheries levy (D51E)","2004","General Government - Central Government (S.1311)","€milllion","1.0905678"
"Fisheries levy (D51E)","2004","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2004","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2004","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","1.05946418"
"Fisheries levy (D51E)","2005","General Government - Total (S.13)","€milllion","1.05946418"
"Fisheries levy (D51E)","2005","General Government - Central Government (S.1311)","€milllion","1.05946418"
"Fisheries levy (D51E)","2005","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2005","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2005","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","1.05654368"
"Fisheries levy (D51E)","2006","General Government - Total (S.13)","€milllion","1.05654368"
"Fisheries levy (D51E)","2006","General Government - Central Government (S.1311)","€milllion","1.05654368"
"Fisheries levy (D51E)","2006","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2006","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2006","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","1.42602056"
"Fisheries levy (D51E)","2007","General Government - Total (S.13)","€milllion","1.42602056"
"Fisheries levy (D51E)","2007","General Government - Central Government (S.1311)","€milllion","1.42602056"
"Fisheries levy (D51E)","2007","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2007","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","1.678314"
"Fisheries levy (D51E)","2008","General Government - Total (S.13)","€milllion","1.678314"
"Fisheries levy (D51E)","2008","General Government - Central Government (S.1311)","€milllion","1.678314"
"Fisheries levy (D51E)","2008","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2008","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","1.464134"
"Fisheries levy (D51E)","2009","General Government - Total (S.13)","€milllion","1.464134"
"Fisheries levy (D51E)","2009","General Government - Central Government (S.1311)","€milllion","1.464134"
"Fisheries levy (D51E)","2009","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2009","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","1.211869"
"Fisheries levy (D51E)","2010","General Government - Total (S.13)","€milllion","1.211869"
"Fisheries levy (D51E)","2010","General Government - Central Government (S.1311)","€milllion","1.211869"
"Fisheries levy (D51E)","2010","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2010","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2010","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","1.183048"
"Fisheries levy (D51E)","2011","General Government - Total (S.13)","€milllion","1.183048"
"Fisheries levy (D51E)","2011","General Government - Central Government (S.1311)","€milllion","1.183048"
"Fisheries levy (D51E)","2011","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2011","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2011","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","1.277771"
"Fisheries levy (D51E)","2012","General Government - Total (S.13)","€milllion","1.277771"
"Fisheries levy (D51E)","2012","General Government - Central Government (S.1311)","€milllion","1.277771"
"Fisheries levy (D51E)","2012","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2012","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2012","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","1.199"
"Fisheries levy (D51E)","2013","General Government - Total (S.13)","€milllion","1.199"
"Fisheries levy (D51E)","2013","General Government - Central Government (S.1311)","€milllion","1.199"
"Fisheries levy (D51E)","2013","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2013","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2013","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","1.13538892"
"Fisheries levy (D51E)","2014","General Government - Total (S.13)","€milllion","1.13538892"
"Fisheries levy (D51E)","2014","General Government - Central Government (S.1311)","€milllion","1.13538892"
"Fisheries levy (D51E)","2014","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2014","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","1.15688498"
"Fisheries levy (D51E)","2015","General Government - Total (S.13)","€milllion","1.15688498"
"Fisheries levy (D51E)","2015","General Government - Central Government (S.1311)","€milllion","1.15688498"
"Fisheries levy (D51E)","2015","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2015","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2015","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","1.147045"
"Fisheries levy (D51E)","2016","General Government - Total (S.13)","€milllion","1.147045"
"Fisheries levy (D51E)","2016","General Government - Central Government (S.1311)","€milllion","1.147045"
"Fisheries levy (D51E)","2016","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2016","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2016","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","1.172533"
"Fisheries levy (D51E)","2017","General Government - Total (S.13)","€milllion","1.172533"
"Fisheries levy (D51E)","2017","General Government - Central Government (S.1311)","€milllion","1.172533"
"Fisheries levy (D51E)","2017","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2017","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2017","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2018","General Government and Rest of World  (S.13+S.212)","€milllion","1.075058"
"Fisheries levy (D51E)","2018","General Government - Total (S.13)","€milllion","1.075058"
"Fisheries levy (D51E)","2018","General Government - Central Government (S.1311)","€milllion","1.075058"
"Fisheries levy (D51E)","2018","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2018","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2018","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2019","General Government and Rest of World  (S.13+S.212)","€milllion","1.4"
"Fisheries levy (D51E)","2019","General Government - Total (S.13)","€milllion","1.4"
"Fisheries levy (D51E)","2019","General Government - Central Government (S.1311)","€milllion","1.4"
"Fisheries levy (D51E)","2019","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2019","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2019","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","1.027"
"Fisheries levy (D51E)","2020","General Government - Total (S.13)","€milllion","1.027"
"Fisheries levy (D51E)","2020","General Government - Central Government (S.1311)","€milllion","1.027"
"Fisheries levy (D51E)","2020","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2020","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2020","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","1.129"
"Fisheries levy (D51E)","2021","General Government - Total (S.13)","€milllion","1.129"
"Fisheries levy (D51E)","2021","General Government - Central Government (S.1311)","€milllion","1.129"
"Fisheries levy (D51E)","2021","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2021","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2021","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","1.382"
"Fisheries levy (D51E)","2022","General Government - Total (S.13)","€milllion","1.382"
"Fisheries levy (D51E)","2022","General Government - Central Government (S.1311)","€milllion","1.382"
"Fisheries levy (D51E)","2022","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2022","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2022","Rest of World (S.212)","€milllion",""
"Fisheries levy (D51E)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","1.27"
"Fisheries levy (D51E)","2023","General Government - Total (S.13)","€milllion","1.27"
"Fisheries levy (D51E)","2023","General Government - Central Government (S.1311)","€milllion","1.27"
"Fisheries levy (D51E)","2023","General Government - Local Government (S.1313)","€milllion",""
"Fisheries levy (D51E)","2023","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Fisheries levy (D51E)","2023","Rest of World (S.212)","€milllion",""
"Foreign Travel (D214H)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","14.00220046"
"Foreign Travel (D214H)","1995","General Government - Total (S.13)","€milllion","14.00220046"
"Foreign Travel (D214H)","1995","General Government - Central Government (S.1311)","€milllion","14.00220046"
"Foreign Travel (D214H)","1995","General Government - Local Government (S.1313)","€milllion",""
"Foreign Travel (D214H)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Foreign Travel (D214H)","1995","Rest of World (S.212)","€milllion",""
